ID	Q	A	I	R	P	N	O
4991	1	0	4	0	0	0	0
10631	4	0	0	0	2	0	0
11001	0	5	0	0	0	0	0
11011	0	3	0	0	2	1	0
12021	0	0	0	0	4	0	1
16061	0	0	5	0	0	0	0
20851	5	0	0	0	0	0	0
20861	0	0	0	0	5	0	0
7790	1	4	1	1	1	0	0
1171	5	0	0	0	0	0	0
1291	0	0	0	0	5	0	0
570	0	0	0	0	4	0	1
1401	0	1	0	0	1	1	2
300	0	3	0	0	1	0	0
370	0	3	0	0	2	0	1
390	0	1	0	0	3	0	1
400	0	0	1	0	2	1	1
5930	0	0	2	0	2	0	1
6340	0	1	1	0	2	0	1
6840	1	2	0	0	2	0	0
1581	5	0	0	0	0	0	0
1621	0	5	0	0	0	0	0
350	0	0	0	0	5	0	0
470	0	0	0	0	2	0	3
730	0	4	0	0	0	1	1
1761	0	1	0	0	4	0	0
2081	0	3	0	0	2	0	1
2211	0	2	1	0	2	0	1
2651	0	1	0	0	2	0	2
2911	0	0	0	0	2	1	2
3161	0	0	0	0	5	0	0
3241	0	1	0	0	3	0	1
6880	0	0	0	0	4	0	1
3341	0	4	0	1	0	1	0
790	0	0	0	0	5	0	0
1050	0	0	0	0	5	0	0
3401	0	1	1	0	3	0	0
10781	0	1	0	0	2	0	2
17151	0	0	0	0	4	1	0
17381	0	0	0	1	4	0	0
7721	3	1	1	0	0	0	0
7911	3	0	2	0	1	0	0
7941	0	3	0	2	0	0	0
7961	0	0	2	0	3	1	0
2750	0	0	1	1	4	0	0
8041	0	2	0	1	3	0	1
2510	5	0	0	0	0	0	0
2520	0	3	0	1	1	0	0
2590	5	0	0	0	0	0	0
2600	0	4	0	0	1	0	0
2610	0	0	0	0	4	0	1
2720	5	0	0	0	0	0	0
2730	1	1	0	3	0	0	0
2870	0	0	5	0	0	0	0
2880	0	4	0	1	0	0	0
8071	0	3	0	1	1	0	0
2640	1	0	4	0	0	3	0
8161	0	1	1	1	1	2	0
2550	1	2	0	0	1	2	0
8191	0	1	0	1	0	3	0
2580	0	1	0	2	1	2	0
8371	0	0	3	0	1	4	0
3020	1	2	0	0	0	2	0
3040	0	3	1	0	1	0	0
3820	0	0	3	0	3	0	2
8511	2	0	4	0	1	0	0
3050	1	1	1	0	3	0	0
8531	1	1	3	0	3	0	0
3060	0	1	0	0	4	0	0
3850	0	2	0	0	4	0	0
3870	0	0	0	0	4	1	0
3880	0	1	0	4	0	0	1
8591	0	1	2	0	2	0	0
8621	0	4	0	0	2	0	0
3070	0	0	0	0	5	0	0
3140	2	2	0	0	1	1	0
8631	1	1	1	0	1	0	2
2780	2	0	2	1	0	0	0
2900	1	1	1	5	0	0	0
8671	0	0	3	0	3	0	1
2950	0	0	0	0	5	0	1
8711	0	0	1	0	5	1	0
8891	2	2	0	1	1	0	0
3240	1	0	0	0	4	0	1
3250	5	0	0	0	0	0	0
3270	0	3	0	0	1	0	1
3460	0	0	0	0	2	0	3
3860	4	1	0	0	0	0	0
9011	0	0	0	0	4	0	1
9161	0	0	0	0	5	0	0
9191	2	3	1	0	1	0	0
3010	0	1	1	3	1	0	0
3030	0	0	4	1	1	0	0
9221	0	1	1	0	0	2	2
9241	0	0	2	0	1	2	0
9261	0	0	2	2	1	1	0
9521	5	0	0	0	1	0	0
3230	0	3	1	1	0	0	1
3280	0	4	0	1	0	0	0
3300	5	0	0	0	0	0	0
3320	1	2	1	1	1	0	0
9891	1	1	1	1	0	1	1
3560	0	0	0	0	1	4	0
10011	3	2	0	0	0	0	0
10151	1	0	2	0	3	0	0
10371	2	0	1	0	3	0	0
13441	2	0	4	0	0	0	0
13501	0	0	1	0	5	0	0
5430	1	2	0	0	3	1	0
6310	4	0	1	0	0	0	0
6350	0	4	0	0	0	0	0
13751	0	2	0	0	2	0	1
5980	2	3	2	0	1	2	0
14311	0	2	0	1	3	0	0
18271	0	0	0	0	1	0	5
4971	0	2	0	1	1	0	1
5271	0	1	1	0	2	0	1
5301	4	0	0	0	0	0	1
6691	0	0	0	0	5	0	0
2020	0	0	0	0	5	0	0
6791	0	0	0	0	1	2	2
10601	3	2	0	0	0	0	0
10721	0	2	0	0	3	0	0
10751	0	4	0	1	0	0	0
12741	0	3	0	2	0	0	0
12861	1	3	0	1	1	0	0
16051	0	0	5	0	0	0	0
17021	0	0	1	0	4	0	0
17051	0	0	1	0	3	1	0
17071	0	3	0	1	0	1	0
6860	2	0	2	0	3	0	0
7170	0	2	1	0	4	0	0
20621	0	0	0	0	2	0	3
20761	1	0	0	0	5	0	0
7740	0	0	0	0	5	0	0
20871	0	0	0	0	5	0	0
7750	0	1	0	0	3	0	1
20941	0	0	0	0	5	0	0
7760	0	0	0	0	5	0	0
20951	0	0	0	0	5	0	0
20961	0	0	0	0	5	0	1
21251	0	0	0	0	5	0	0
21261	0	0	0	0	5	0	0
21281	0	0	0	0	5	0	0
21421	0	0	0	0	4	0	1
21461	0	0	0	0	5	0	0
22111	0	0	0	0	5	0	0
1151	4	1	1	0	0	0	0
